,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),241.80,-0.35,0.33,233.31,-0.55,-0.78,271.27,-0.34,0.33
World Government Bond Index (WGBI),788.50,-0.21,0.72,984.65,-0.48,-0.52,938.58,-0.20,0.72
World Government Bond Index - Developed Markets (WGBI  DM),784.54,-0.20,0.76,985.38,-0.46,-0.46,941.91,-0.20,0.76
World Government Bond Index - Extended (WGBI Extended),796.36,-0.19,0.66,995.47,-0.46,-0.54,938.35,-0.19,0.65
World Inflation-Linked Securities Index (WorldILSI),213.55,0.39,3.01,180.20,0.04,1.41,216.22,0.37,2.95
US Broad Investment-Grade Bond Index (USBIG),"1,871.54",-0.37,-0.16,"1,871.54",-0.37,-0.16,"1,871.54",-0.37,-0.16
US Treasury Index,"1,629.89",-0.18,0.21,"1,629.89",-0.18,0.21,"1,629.89",-0.18,0.21
US High-Yield Market Index,"1,189.73",-0.50,-0.64,"1,189.73",-0.50,-0.64,"1,189.73",-0.50,-0.64
US High-Yield Cash Pay Index,"1,165.44",-0.50,-0.65,"1,165.44",-0.50,-0.65,"1,165.44",-0.50,-0.65
US High-Yield Market Capped Index,411.61,-0.50,-0.64,411.61,-0.50,-0.64,411.61,-0.50,-0.64
US High-Yield Cash Pay Capped Index,407.68,-0.50,-0.64,407.68,-0.50,-0.64,407.68,-0.50,-0.64
LATAM Government Bond Index (LATAMGBI),224.36,-0.67,-1.11,104.18,-1.14,-2.15,143.56,-0.70,-1.20
Euro Broad Investment-Grade Bond Index (EuroBIG),243.30,-0.40,1.07,225.33,-0.80,-2.14,285.90,-0.38,1.06
EMU Government Bond Index (EGBI),250.08,-0.29,1.49,231.60,-0.69,-1.73,293.33,-0.28,1.47
Eurodollar Bond Index,445.59,-0.73,-0.73,445.59,-0.73,-0.73,445.59,-0.73,-0.73
Eurosterling Bond Index,541.89,-0.92,0.15,454.97,-1.54,-1.96,476.76,-0.91,0.15
Euroyen Bond Index,186.55,0.07,0.06,161.30,-0.42,-0.12,372.41,0.08,0.08
CEEMEA Government Bond Index (CEEMEAGBI),149.93,-11.82,-12.41,71.29,-11.60,-15.68,112.45,-8.77,-9.43
Middle East and North Africa Broad Bond Index (MENABBI),166.90,-0.40,-0.45,166.90,-0.40,-0.45,166.90,-0.40,-0.45
Asian Government Bond Index (AGBI),194.89,-0.00,-0.08,167.49,-0.28,-0.66,167.74,-0.02,-0.12
Asian Government Extended Bond Index (AGBI-Extended),184.86,-0.03,-0.22,191.30,-0.49,-1.15,144.36,-0.05,-0.26
AsiaPac Government Bond Index (APGBI),197.18,0.01,-0.08,164.48,-0.27,-0.49,165.27,-0.00,-0.11
Asian Broad Bond Index (ABBI),213.84,-0.41,-0.88,213.84,-0.41,-0.88,213.84,-0.41,-0.88
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.28,0.04,-0.18,145.91,0.05,-0.30,130.46,0.02,-0.24
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.20,0.04,-0.19,145.83,0.05,-0.30,130.39,0.02,-0.24
Dim Sum (Offshore CNY) Bond Index,149.67,-0.05,-0.11,155.71,-0.00,-0.35,118.43,-0.07,-0.16
Australian Broad Investment-Grade Bond Index (AusBIG),316.00,0.00,0.02,385.71,-0.28,1.01,202.21,0.01,0.03
Emerging Markets Government Bond Index (EMGBI),246.60,-2.18,-2.46,135.45,-2.17,-3.14,156.21,-1.64,-1.96
Emerging Markets Inflation-Linked Securities Index (EMILSI),454.99,0.02,0.67,163.30,-0.11,0.52,196.47,-0.10,0.41
Emerging Markets US Dollar Government Bond Index EMUSDGBI),815.15,-1.94,-3.71,815.15,-1.94,-3.71,815.15,-1.94,-3.71
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),863.58,-2.18,-4.15,863.58,-2.18,-4.15,863.58,-2.18,-4.15
Debt Capacity World Government Bond Index (DCWGBI),182.12,-0.29,0.65,168.00,-0.68,-1.15,193.56,-0.28,0.64
Time-Weighted US Fallen Angel Bond Index,808.44,-0.44,-0.24,808.44,-0.44,-0.24,808.44,-0.44,-0.24
