,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),248.82,-0.12,-0.21,245.91,-0.06,-0.23,278.87,-0.12,-0.21
World Government Bond Index (WGBI),802.78,-0.09,-0.16,"1,031.82",-0.04,-0.15,954.68,-0.09,-0.16
World Government Bond Index - Developed Markets (WGBI  DM),798.70,-0.09,-0.15,"1,032.44",-0.04,-0.14,957.76,-0.09,-0.15
World Government Bond Index - Extended (WGBI Extended),809.40,-0.08,-0.16,"1,038.36",-0.02,-0.16,953.63,-0.08,-0.16
World Inflation-Linked Securities Index (WorldILSI),206.47,-0.05,0.70,179.11,0.15,1.01,209.29,-0.05,0.71
US Broad Investment-Grade Bond Index (USBIG),"1,935.55",-0.26,-0.29,"1,935.55",-0.26,-0.29,"1,935.55",-0.26,-0.29
US Treasury Index,"1,660.93",-0.31,-0.23,"1,660.93",-0.31,-0.23,"1,660.93",-0.31,-0.23
US High-Yield Market Index,"1,230.85",0.18,-0.20,"1,230.85",0.18,-0.20,"1,230.85",0.18,-0.20
US High-Yield Cash Pay Index,"1,205.22",0.18,-0.20,"1,205.22",0.18,-0.20,"1,205.22",0.18,-0.20
US High-Yield Market Capped Index,425.84,0.18,-0.20,425.84,0.18,-0.20,425.84,0.18,-0.20
US High-Yield Cash Pay Capped Index,421.60,0.18,-0.20,421.60,0.18,-0.20,421.60,0.18,-0.20
LATAM Government Bond Index (LATAMGBI),228.02,0.23,0.05,104.74,0.46,-0.08,149.30,0.22,-0.03
Euro Broad Investment-Grade Bond Index (EuroBIG),250.18,0.05,-0.08,246.29,0.21,-0.33,293.04,0.05,-0.07
EMU Government Bond Index (EGBI),255.21,0.08,-0.03,251.24,0.23,-0.28,298.47,0.08,-0.02
Eurodollar Bond Index,470.30,-0.30,-0.41,470.30,-0.30,-0.41,470.30,-0.30,-0.41
Eurosterling Bond Index,564.83,0.01,-0.57,491.81,0.41,0.45,496.78,0.01,-0.58
Euroyen Bond Index,187.29,0.03,-0.02,167.55,-0.22,0.03,373.26,0.03,-0.01
CEEMEA Government Bond Index (CEEMEAGBI),183.62,0.22,-0.71,99.49,0.72,-0.26,133.88,0.21,-0.77
Middle East and North Africa Broad Bond Index (MENABBI),172.89,0.06,-0.51,172.89,0.06,-0.51,172.89,0.06,-0.51
Asian Government Bond Index (AGBI),194.23,0.00,-0.18,165.98,0.10,-0.22,168.70,-0.00,-0.21
Asian Government Extended Bond Index (AGBI-Extended),184.49,0.00,-0.19,191.50,0.13,-0.41,145.54,-0.00,-0.23
AsiaPac Government Bond Index (APGBI),197.48,0.01,-0.22,163.98,0.18,-0.11,166.90,0.01,-0.25
Asian Broad Bond Index (ABBI),225.96,-0.25,-0.88,225.96,-0.25,-0.88,225.96,-0.25,-0.88
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),149.58,0.01,0.06,140.13,0.01,0.06,129.68,0.00,0.01
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),149.50,0.01,0.06,140.05,0.01,0.06,129.62,0.00,0.01
Dim Sum (Offshore CNY) Bond Index,148.00,0.01,0.05,151.01,0.20,0.12,118.43,-0.00,-0.01
Australian Broad Investment-Grade Bond Index (AusBIG),328.01,0.06,-0.41,399.39,0.76,0.79,210.24,0.06,-0.41
Emerging Markets Government Bond Index (EMGBI),253.53,0.04,-0.17,140.67,0.22,0.01,161.59,0.03,-0.23
Emerging Markets Inflation-Linked Securities Index (EMILSI),430.86,-0.16,-0.15,155.79,-0.06,-0.61,192.87,-0.18,-0.26
Emerging Markets US Dollar Government Bond Index EMUSDGBI),933.24,0.36,-0.32,933.24,0.36,-0.32,933.24,0.36,-0.32
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,000.26",0.38,-0.48,"1,000.26",0.38,-0.48,"1,000.26",0.38,-0.48
Debt Capacity World Government Bond Index (DCWGBI),185.47,-0.06,-0.21,177.33,0.07,-0.13,197.14,-0.06,-0.21
Time-Weighted US Fallen Angel Bond Index,844.55,0.08,-0.39,844.55,0.08,-0.39,844.55,0.08,-0.39
