,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),248.30,0.11,-0.42,245.56,0.01,-0.37,278.31,0.11,-0.41
World Government Bond Index (WGBI),801.04,0.10,-0.38,"1,029.44",-0.01,-0.38,952.72,0.11,-0.36
World Government Bond Index - Developed Markets (WGBI  DM),797.04,0.11,-0.36,"1,030.01",-0.00,-0.38,955.90,0.11,-0.34
World Government Bond Index - Extended (WGBI Extended),807.34,0.08,-0.41,"1,036.79",0.01,-0.31,951.20,0.08,-0.41
World Inflation-Linked Securities Index (WorldILSI),210.69,0.01,2.76,183.80,-0.07,3.65,213.64,0.00,2.80
US Broad Investment-Grade Bond Index (USBIG),"1,932.24",0.10,-0.46,"1,932.24",0.10,-0.46,"1,932.24",0.10,-0.46
US Treasury Index,"1,657.39",0.13,-0.45,"1,657.39",0.13,-0.45,"1,657.39",0.13,-0.45
US High-Yield Market Index,"1,230.26",-0.02,-0.25,"1,230.26",-0.02,-0.25,"1,230.26",-0.02,-0.25
US High-Yield Cash Pay Index,"1,204.76",-0.02,-0.24,"1,204.76",-0.02,-0.24,"1,204.76",-0.02,-0.24
US High-Yield Market Capped Index,425.54,-0.02,-0.27,425.54,-0.02,-0.27,425.54,-0.02,-0.27
US High-Yield Cash Pay Capped Index,421.36,-0.02,-0.25,421.36,-0.02,-0.25,421.36,-0.02,-0.25
LATAM Government Bond Index (LATAMGBI),225.44,0.01,-1.08,104.52,0.53,-0.29,147.31,-0.05,-1.36
Euro Broad Investment-Grade Bond Index (EuroBIG),249.55,0.14,-0.33,246.79,-0.15,-0.13,292.40,0.14,-0.29
EMU Government Bond Index (EGBI),254.73,0.14,-0.22,251.91,-0.15,-0.02,298.02,0.15,-0.17
Eurodollar Bond Index,469.85,0.06,-0.51,469.85,0.06,-0.51,469.85,0.06,-0.51
Eurosterling Bond Index,564.99,0.20,-0.54,497.26,0.17,1.57,496.89,0.20,-0.55
Euroyen Bond Index,187.00,-0.02,-0.17,164.19,-0.06,-1.98,372.74,-0.02,-0.15
CEEMEA Government Bond Index (CEEMEAGBI),180.98,-0.17,-2.13,98.33,-0.22,-1.43,131.72,-0.20,-2.37
Middle East and North Africa Broad Bond Index (MENABBI),172.79,-0.06,-0.57,172.79,-0.06,-0.57,172.79,-0.06,-0.57
Asian Government Bond Index (AGBI),193.06,-0.11,-0.78,167.11,0.14,0.46,167.49,-0.13,-0.93
Asian Government Extended Bond Index (AGBI-Extended),183.53,-0.08,-0.71,192.09,0.05,-0.10,144.60,-0.10,-0.87
AsiaPac Government Bond Index (APGBI),196.00,-0.09,-0.96,165.14,0.13,0.60,165.48,-0.11,-1.10
Asian Broad Bond Index (ABBI),225.40,0.18,-1.13,225.40,0.18,-1.13,225.40,0.18,-1.13
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),149.08,0.06,-0.26,141.44,0.18,1.00,129.08,0.03,-0.45
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),149.00,0.06,-0.27,141.35,0.18,1.00,129.01,0.03,-0.46
Dim Sum (Offshore CNY) Bond Index,147.94,-0.00,0.01,152.57,-0.05,1.16,118.21,-0.03,-0.19
Australian Broad Investment-Grade Bond Index (AusBIG),323.25,0.07,-1.86,403.39,0.11,1.80,207.06,0.07,-1.92
Emerging Markets Government Bond Index (EMGBI),251.98,0.03,-0.78,141.18,0.17,0.37,160.35,-0.00,-0.99
Emerging Markets Inflation-Linked Securities Index (EMILSI),425.98,-0.00,-1.28,152.83,1.20,-2.50,190.15,-0.10,-1.67
Emerging Markets US Dollar Government Bond Index EMUSDGBI),931.47,-0.01,-0.51,931.47,-0.01,-0.51,931.47,-0.01,-0.51
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,000.78",0.11,-0.42,"1,000.78",0.11,-0.42,"1,000.78",0.11,-0.42
Debt Capacity World Government Bond Index (DCWGBI),184.93,0.09,-0.50,177.49,-0.05,-0.04,196.57,0.09,-0.50
Time-Weighted US Fallen Angel Bond Index,847.72,-0.02,-0.01,847.72,-0.02,-0.01,847.72,-0.02,-0.01
